Municipalities;Total;Male;Female
Etropole;11679;5751;5928
Zlatitsa;5649;2761;2888
Ihtiman;17609;8755;8854
Koprivshtitsa;2287;1115;1172
Kostenets;12224;5969;6255
Kostinbrod;17336;8478;8858
Mirkovo;2420;1207;1213
Pirdop;8062;3948;4114
Pravets;7510;3801;3709
Samokov;36963;17954;19009
Svoge;21252;10509;10743
Slivnitsa;9256;4608;4648
Chavdar;1234;617;617
Chelopech;1471;736;735
Bratya Daskalovi;8304;4186;4118
Gurkovo;5050;2521;2529
Galabovo;12837;6393;6444
Kazanlak;71043;34437;36606
Maglizh;10000;4960;5040
Nikolaevo;4452;2197;2255
Opan;2731;1354;1377
Pavel Banya;13873;6712;7161
Radnevo;19492;9671;9821
Stara Zagora;159662;77228;82434
Chirpan;20660;10078;10582
Antonovo;5903;3033;2870
Omurtag;21614;10743;10871
Opaka;6431;3242;3189
Popovo;27688;13414;14274
Targovishte;56083;27312;28771
Dimitrovgrad;51531;25125;26406
Ivaylovgrad;6131;3046;3085
Lyubimets;9879;4926;4953
Madzharovo;1734;881;853
Mineralni Bani;5891;2976;2915
Svilengrad;22774;11209;11565
Simeonovgrad;8394;4126;4268
Stambolovo;5856;2956;2900
Topolovgrad;10831;5363;5468
Harmanli;24201;11956;12245
Haskovo;92090;44355;47735
Veliki Preslav;13060;6428;6632
Venets;7054;3542;3512
Varbitsa;10252;5175;5077
Kaolinovo;12298;6230;6068
Kaspichan;7817;3890;3927
Nikola Kozlevo;6093;3055;3038
Novi Pazar;16680;8130;8550
Smyadovo;6386;3111;3275
Hitrino;6250;3159;3091
Shumen;92171;44390;47781
Bolyarovo;3938;1917;2021
Elhovo;15523;7696;7827
Straldzha;12426;6210;6216
Tundzha;23130;11505;11625
Yambol;72159;35143;37016
